pid,assessed_value
1,247432.93492878613
2,339336.7876451877
3,161193.1617938299
4,275215.695844325
5,424739.1323079735
6,194805.68876976953
7,246633.1608568985
8,425016.3153022081
9,318902.21841897693
10,565756.8167072305
11,214078.76314359216
12,392084.5013720595
13,132032.28257853186
14,242983.96313505247
15,207648.777151353
16,184479.41511174547
17,179703.9032118707
18,244627.5790737567
19,236491.5136983333
20,135664.9648370642
21,301218.6932256371
22,140719.3123855579
23,163628.2377610545
24,440285.8892343124
25,518629.09801983373
26,278062.43919163593
27,160680.36244601684
28,810554.39627455
29,130180.84068108693
30,156371.10463278464
31,213917.157302518
32,114337.66857527797
33,547074.0429675365
34,188640.4442479762
35,241493.0677057429
36,535368.3627603553
37,198101.40553115137
38,450310.43360923656
39,433950.09163967735
40,317968.3678646145
41,263598.2010138833
42,369450.8049917183
43,170938.21598325393
44,281512.77965345705
45,107199.65420406363
46,630030.9896933701
47,507240.45584920055
48,137984.41701495778
49,947621.7339088726
50,453420.5265740119
51,163563.93481436698
52,311640.70914989006
53,171724.46763043755
54,160717.04494862378
55,148918.23109899307
56,278697.69929002406
57,222935.6653910758
58,302535.71710625367
59,138723.82942613817
60,209671.10959795243
61,106856.02285871364
62,252677.27449261746
63,470837.41529676755
64,228616.01854360205
65,248695.74132417818
66,210910.33006992834
67,186694.95117617687
68,494786.24274768255
69,225971.19151971504
70,192283.25132139758
71,343374.9916705925
72,420654.97877628956
73,211615.9616951287
74,160155.28369875925
75,701113.31049006
76,202322.43577900983
77,170933.812642407
78,260701.12658851803
79,258007.6181350272
80,620012.2444781939
81,121240.60270952417
82,191672.73673448057
83,189022.87570322087
84,148860.65053346858
85,191598.09025633943
86,189671.35689454354
87,240467.19266572144
88,174353.9888147953
89,368742.4093978221
90,302403.7782294338
91,260263.5891971121
92,615823.8021660721
93,175878.1580151155
94,298162.31351445615
95,438955.3740903
96,133891.0894053738
97,346381.5240049651
98,173345.35020890567
99,480579.6826336112
100,203009.63681168124
101,373758.62449905596
102,233280.7013020447
103,316053.1962808305
104,482545.0386197278
105,442620.9420527126
106,501154.2307668044
107,317745.6240248256
108,285298.7912662458
109,603816.670000275
110,189684.1731314554
111,202657.29769980838
112,514271.95798079926
113,492129.7651713807
114,851944.6342027424
115,565340.311452733
116,752199.152126294
117,179251.61314322552
118,255755.4739013655
119,269480.9241936067
120,305793.2705622791
121,328625.2596177615
122,258252.72804641887
123,372150.2477034269
124,230083.9614855176
125,283028.2012238233
126,532441.846934346
127,311280.1572666054
128,224320.27007120207
129,136248.87815582578
130,195513.84980876208
131,149228.97708457796
132,98241.1010028122
133,379607.23847795883
134,186624.39064206625
135,298495.7975887045
136,206271.17334484903
137,131533.38776692297
138,152972.24226752765
139,171388.10852865648
140,77027.6986839056
141,169511.3324102273
142,362484.4196610798
143,198895.73923856393
144,258091.53655282807
145,223462.3433941061
146,432760.81668581575
147,278347.36267478095
148,163860.20291516196
149,205035.31818101052
150,193095.78562613387
151,431041.0337193485
152,297610.49535369145
153,259413.63520854502
154,145718.9254375246
155,402974.279227631
156,219764.32446437338
157,259060.69729146114
158,196692.0188442207
159,162379.03654395192
160,394470.7286120102
161,600521.5440882446
162,286345.3945529869
163,167265.80250444033
164,123469.071158282
165,246425.31794242616
166,248265.68013753535
167,157386.64370756762
168,168439.03402719228
169,288909.78753352404
170,343436.5556989918
171,345501.04371136916
172,438549.61775124253
173,109488.64134860439
174,304989.61339205113
175,973405.1577134772
176,193286.22809374298
177,146875.426752982
178,236891.90175712536
179,104320.34516551015
180,211276.22714765635
181,469662.56102989934
182,167944.05567644746
183,451253.08980970195
184,251392.4213811853
185,224902.82690657562
186,200079.34863637248
187,289257.67243836
188,292191.088774872
189,247262.4147355931
190,383326.57336820645
191,355318.21730643424
192,389024.0574106912
193,618642.9636486828
194,289035.2643216005
195,276867.8085774651
196,107510.19683786035
197,138310.46908042932
198,220849.0773365322
199,296360.14307454176
200,236521.79677735726
201,318480.8369939076
202,185830.86958154876
203,331193.02709861106
204,300828.4042681972
205,251492.89846229987
206,197474.76970020626
207,318267.29135980655
208,116740.64979196763
209,94057.91425827774
210,257531.0352775123
211,275547.8009919408
212,147154.09696418766
213,342525.11516845506
214,106809.66165385589
215,611925.0233615863
216,727774.9696558149
217,113902.96937970824
218,206196.92309685887
219,168466.30443811635
220,158676.01690303875
221,415045.8066823695
222,266728.68303264445
223,327634.4960391664
224,566996.3259326288
225,205213.17638548804
226,159909.4257762177
227,572824.2901789551
228,484783.2469730151
229,532483.2303979676
230,275278.16840217006
231,321645.45522808126
232,264250.85254780605
233,218440.76946947226
234,265726.77315036533
235,384926.6262916508
236,158239.19530559087
237,404703.4259774536
238,241424.6446797486
239,586640.4734985353
240,278649.0986677341
241,262112.78389181104
242,504283.04706323025
243,596807.6458292255
244,309396.2003117628
245,307952.2195201596
246,167964.60469729072
247,251604.83399267445
248,180122.7773447521
249,221246.00234270966
250,188205.89775310442
251,396569.5687292472
252,527670.420293671
253,211811.14531891004
254,567553.6953899196
255,446701.02249825094
256,644657.1737926973
257,741636.7364901399
258,180409.0415293587
259,246424.01517337436
260,167418.18509831183
261,114056.49233136442
262,869021.8303563632
263,128692.20952179389
264,84586.1995728021
265,299176.02365119586
266,424537.41937248455
267,287965.8391255606
268,253727.8505853475
269,218844.66360786278
270,405670.0549469428
271,192782.00959188608
272,261488.53142220504
273,310751.5329811584
274,303819.8668746332
275,266214.473044624
276,208022.71054642624
277,489103.72945840517
278,295281.765243223
279,205740.03776506978
280,169871.75307494184
281,119793.89752788954
282,448490.94187986635
283,251450.48139973808
284,363202.323305791
285,214410.901078557
286,572355.5736380002
287,316316.1362660846
288,179812.57137000284
289,205273.86506411302
290,757685.7791775087
291,309561.96772209206
292,423319.8670845228
293,293897.7836853094
294,142843.3091599518
295,208656.57157480842
296,373690.6354946581
297,178765.0897348878
298,802928.3991792813
299,285307.4696090873
300,262064.30799038903
301,422497.364485506
302,201724.42603889958
303,212547.7346139745
304,171541.2624742994
305,445143.11573294975
306,221982.5791802616
307,240751.73818251622
308,199609.7967723499
309,1193682.6374737474
310,719361.5075146608
311,280882.58410112857
312,303103.8245113765
313,256270.64348598148
314,264285.84785545355
315,298886.57456697925
316,293522.0416321031
317,221974.66524483426
318,176586.29631022224
319,620859.0136976588
320,115221.12031803216
321,145884.84789643643
322,173960.8554779248
323,225098.73825378064
324,329855.52169111447
325,280688.0116755934
326,230678.8262448823
327,488354.74543529627
328,148282.2419310504
329,374180.8121023108
330,237512.6805957208
331,299318.62969485996
332,317523.61063226935
333,260352.14675970623
334,236554.0439628792
335,895830.3140244189
336,295001.75160692394
337,222546.49980720287
338,408340.1320368433
339,157962.7787595517
340,163487.29289749425
341,235847.23579135278
342,194261.20596814182
343,230047.9460391289
344,587424.6108719072
345,326654.2195363112
346,1223530.4040950905
347,310079.52258492616
348,590527.0943336216
349,155902.3070102679
350,507387.2963389333
351,524956.1005214775
352,650856.1919810926
353,142140.051518599
354,132437.4655464174
355,552880.3537389709
356,144039.52442187569
357,202001.48699757623
358,305496.88714636356
359,189946.8154381961
360,75997.87329217966
361,185736.53140348216
362,351394.97525281046
